City,State,SizeRank,Date,Sell_Price
Sacramento,CA,24,2008-06-01,243800
San Antonio,TX,25,2008-06-01,139200
Orlando,FL,26,2008-06-01,199300
San Jose,CA,33,2008-06-01,598100
Austin,TX,34,2008-06-01,181200
Jacksonville,FL,39,2008-06-01,166700
Buffalo,NY,46,2008-06-01,NA
Raleigh,NC,47,2008-06-01,171800
Rochester,NY,50,2008-06-01,NA
Tucson,AZ,52,2008-06-01,193000
Fresno,CA,55,2008-06-01,205200
Albany,NY,59,2008-06-01,178900
Bakersfield,CA,62,2008-06-01,190800
Ventura,CA,65,2008-06-01,426700
El Paso,TX,67,2008-06-01,NA
Greensboro,NC,71,2008-06-01,118200
North Port-Sarasota-Bradenton,FL,73,2008-06-01,209600
Stockton,CA,75,2008-06-01,NA
Syracuse,NY,77,2008-06-01,108600
Winston-Salem,NC,79,2008-06-01,125000
Fort Myers,FL,82,2008-06-01,184600
Lakeland,FL,86,2008-06-01,152500
Daytona Beach,FL,88,2008-06-01,166000
Melbourne,FL,95,2008-06-01,152200
Modesto,CA,100,2008-06-01,208800
Durham,NC,102,2008-06-01,170200
Santa Rosa,CA,103,2008-06-01,394400
Pensacola,FL,108,2008-06-01,143800
Visalia,CA,109,2008-06-01,173700
Asheville,NC,114,2008-06-01,NA
Port St. Lucie,FL,115,2008-06-01,160500
Santa Maria-Santa Barbara,CA,116,2008-06-01,353000
Salinas,CA,119,2008-06-01,NA
Vallejo,CA,120,2008-06-01,291500
Killeen,TX,123,2008-06-01,107700
Tallahassee,FL,133,2008-06-01,159700
Fayetteville,NC,135,2008-06-01,NA
Hickory,NC,136,2008-06-01,113100
Ocala,FL,142,2008-06-01,137500
Naples,FL,144,2008-06-01,313000
Utica,NY,153,2008-06-01,87900
San Luis Obispo,CA,160,2008-06-01,456600
Gainesville,FL,161,2008-06-01,162800
Santa Cruz,CA,162,2008-06-01,541400
Merced,CA,165,2008-06-01,NA
Wilmington,NC,166,2008-06-01,210000
Waco,TX,169,2008-06-01,NA
Amarillo,TX,171,2008-06-01,109700
Binghamton,NY,172,2008-06-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2008-06-01,231900
Chico,CA,184,2008-06-01,240600
Prescott,AZ,188,2008-06-01,247100
Tyler,TX,190,2008-06-01,NA
Lake Havasu City,AZ,198,2008-06-01,179400
Yuma,AZ,203,2008-06-01,161200
Panama City,FL,211,2008-06-01,199400
Kingston,NY,212,2008-06-01,NA
Redding,CA,217,2008-06-01,236000
El Centro,CA,219,2008-06-01,NA
Greenville,NC,223,2008-06-01,127500
Yuba City,CA,226,2008-06-01,191100
Abilene,TX,227,2008-06-01,NA
Punta Gorda,FL,233,2008-06-01,150000
Hanford,CA,246,2008-06-01,201600
Rocky Mount,NC,248,2008-06-01,NA
Burlington,NC,250,2008-06-01,120200
Madera,CA,251,2008-06-01,NA
Midland,TX,262,2008-06-01,NA
Homosassa Springs,FL,263,2008-06-01,137300
Vero Beach,FL,267,2008-06-01,170400
Odessa,TX,268,2008-06-01,NA
Napa,CA,269,2008-06-01,441600
Eureka,CA,271,2008-06-01,276900
Flagstaff,AZ,273,2008-06-01,306300
Sierra Vista,AZ,278,2008-06-01,164700
Glens Falls,NY,281,2008-06-01,152000
New Bern,NC,285,2008-06-01,167600
Goldsboro,NC,290,2008-06-01,NA
Sherman,TX,294,2008-06-01,NA
Watertown,NY,300,2008-06-01,115800
Dunn,NC,304,2008-06-01,NA
Show Low,AZ,318,2008-06-01,NA
Ithaca,NY,327,2008-06-01,NA
Corning,NY,335,2008-06-01,82900
Sebring,FL,336,2008-06-01,119700
Truckee,CA,337,2008-06-01,398500
Shelby,NC,340,2008-06-01,NA
Victoria,TX,347,2008-06-01,NA
The Villages,FL,349,2008-06-01,190600
Elmira,NY,362,2008-06-01,NA
Pinehurst-Southern Pines,NC,365,2008-06-01,203700
Ukiah,CA,366,2008-06-01,341800
Huntsville,TX,377,2008-06-01,NA
Plattsburgh,NY,378,2008-06-01,123600
Wilson,NC,384,2008-06-01,NA
Olean,NY,386,2008-06-01,71900
Auburn,NY,387,2008-06-01,96200
Athens,TX,388,2008-06-01,NA
Palatka,FL,400,2008-06-01,NA
Mount Airy,NC,402,2008-06-01,95200
North Wilkesboro,NC,415,2008-06-01,NA
Forest City,NC,417,2008-06-01,NA
Lake City,FL,418,2008-06-01,124800
Morehead City,NC,422,2008-06-01,234700
Clearlake,CA,427,2008-06-01,217900
Red Bluff,CA,432,2008-06-01,NA
Hudson,NY,433,2008-06-01,206700
Oneonta,NY,436,2008-06-01,NA
Albemarle,NC,446,2008-06-01,NA
Batavia,NY,450,2008-06-01,88200
Oxford,NC,451,2008-06-01,138300
Kinston,NC,453,2008-06-01,NA
Sonora,CA,458,2008-06-01,269200
Payson,AZ,464,2008-06-01,NA
Boone,NC,478,2008-06-01,NA
Kerrville,TX,483,2008-06-01,155200
Cortland,NY,486,2008-06-01,98200
Nogales,AZ,493,2008-06-01,138000
Marion,NC,511,2008-06-01,NA
El Campo,TX,535,2008-06-01,NA
Cullowhee,NC,541,2008-06-01,NA
Okeechobee,FL,545,2008-06-01,NA
Clewiston,FL,549,2008-06-01,NA
Gainesville,TX,554,2008-06-01,NA
Kill Devil Hills,NC,555,2008-06-01,NA
Stephenville,TX,557,2008-06-01,109300
Safford,AZ,561,2008-06-01,NA
Seneca Falls,NY,573,2008-06-01,NA
Brenham,TX,578,2008-06-01,NA
Brevard,NC,580,2008-06-01,171000
Crescent City,CA,595,2008-06-01,NA
Borger,TX,618,2008-06-01,NA
New York,NY,1,2008-07-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2008-07-01,418100
Dallas-Fort Worth,TX,4,2008-07-01,143700
Houston,TX,6,2008-07-01,143800
Miami-Fort Lauderdale,FL,8,2008-07-01,225300
San Francisco,CA,11,2008-07-01,444400
Riverside,CA,12,2008-07-01,246000
Phoenix,AZ,13,2008-07-01,192400
San Diego,CA,16,2008-07-01,354000
Tampa,FL,18,2008-07-01,156000
Charlotte,NC,23,2008-07-01,145600
Sacramento,CA,24,2008-07-01,233500
San Antonio,TX,25,2008-07-01,139200
Orlando,FL,26,2008-07-01,196700
San Jose,CA,33,2008-07-01,584200
Austin,TX,34,2008-07-01,183400
Jacksonville,FL,39,2008-07-01,167800
Buffalo,NY,46,2008-07-01,NA
